Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
QuadraticDiscriminantAnalysis,0.7511062160647692,0.6805407752925203,0.6805407752925203,0.7981825490270833,66.4726345539093
NearestCentroid,0.6634977682453191,0.6515786469310869,0.6515786469310869,0.7338938092530026,11.581682920455933
BernoulliNB,0.7728440863331595,0.6404940023632516,0.6404940023632516,0.811013253956012,12.564971208572388
GaussianNB,0.638494386798833,0.6350834577409293,0.6350834577409293,0.71446669450084,14.379579544067383
DecisionTreeClassifier,0.8691283597086159,0.596809352469854,0.5968093524698541,0.8672805331647356,331.661824464798
KNeighborsClassifier,0.9052422081811683,0.5860558485232256,0.5860558485232256,0.8869153516098272,269.5785975456238
ExtraTreeClassifier,0.8619596931578846,0.5832044766552552,0.5832044766552552,0.8611322790374093,17.38214659690857
ExtraTreesClassifier,0.9077734624079763,0.5793891424408777,0.5793891424408776,0.8870149294641632,573.1639103889465
BaggingClassifier,0.9063629161594496,0.5685820272406514,0.5685820272406515,0.8838048433281767,1401.508633852005
RandomForestClassifier,0.9107684578671768,0.5568551145202613,0.5568551145202613,0.8833190807849468,362.9965064525604
Perceptron,0.8463663942186926,0.5444291461714386,0.5444291461714386,0.8466316634772236,13.35426664352417
PassiveAggressiveClassifier,0.8463277491159933,0.5424393662723068,0.5424393662723068,0.8463061342319651,16.555922746658325
LinearDiscriminantAnalysis,0.9058798523757077,0.5420693730510631,0.5420693730510631,0.876861706557174,73.5799310207367
SVC,0.9111549088941704,0.5345710590716443,0.5345710590716443,0.8770997012847974,81472.7900698185
XGBClassifier,0.9103240391861341,0.5281140547858113,0.5281140547858113,0.8746624080483926,133.24087619781494
LinearSVC,0.8791374413077503,0.5248034576324622,0.5248034576324622,0.8597680031085313,682.1964406967163
LogisticRegression,0.9076961722025776,0.5152301369749748,0.5152301369749748,0.8692394260013997,26.957237243652344
LGBMClassifier,0.9090873958997546,0.5149655858872064,0.5149655858872064,0.8696477043025567,21.74686360359192
SGDClassifier,0.9071164956620872,0.5101301264260938,0.5101301264260938,0.867200925974702,56.1444308757782
RidgeClassifier,0.9077734624079763,0.5024306924515755,0.5024306924515755,0.8644770018829215,15.307596206665039
RidgeClassifierCV,0.9077734624079763,0.5024306924515755,0.5024306924515755,0.8644770018829215,54.95555877685547
AdaBoostClassifier,0.9074256564836821,0.5004580405922541,0.5004580405922541,0.8635916760761828,449.5097875595093
DummyClassifier,0.9074449790350317,0.5,0.5,0.8634129938494712,10.967372179031372
CalibratedClassifierCV,0.9074449790350317,0.5,0.5,0.8634129938494712,2940.01878118515
