Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
NearestCentroid,0.6012984754506985,0.6134637506353,0.6134637506353,0.6847092251176938,1.259502649307251
BernoulliNB,0.647788533998029,0.6080525636559176,0.6080525636559176,0.7215022722860831,1.5390233993530273
DecisionTreeClassifier,0.8484725523158078,0.5789601679499212,0.5789601679499212,0.8526972653725375,47.41172790527344
ExtraTreeClassifier,0.8479701659807161,0.5709031455802922,0.5709031455802922,0.8513339283249044,1.6508817672729492
KNeighborsClassifier,0.9043726933704326,0.5708599676278714,0.5708599676278714,0.883203382534435,176.88269639015198
ExtraTreesClassifier,0.904044209997488,0.5592430046538213,0.5592430046538214,0.8803493767998924,50.08571481704712
BaggingClassifier,0.9065368191215968,0.5568669281111764,0.5568669281111764,0.8810921886243215,322.5135848522186
RandomForestClassifier,0.9097057175429444,0.5495204504483319,0.5495204504483319,0.8808035683462925,151.18906927108765
XGBClassifier,0.9114254246130659,0.5468122441879689,0.5468122441879689,0.8809020330496231,66.5928635597229
GaussianNB,0.20137963016636717,0.5363402593353263,0.5363402593353263,0.2177763025318896,1.5999352931976318
LGBMClassifier,0.9107298127644774,0.5309622837718335,0.5309622837718334,0.8757626645025806,3.43654465675354
Perceptron,0.8337487681873514,0.5279156442483459,0.527915644248346,0.8373298317326772,2.0716898441314697
LinearDiscriminantAnalysis,0.9056286592081618,0.5256206491700458,0.5256206491700458,0.8718883527535575,5.7103660106658936
PassiveAggressiveClassifier,0.8543272853747609,0.5109456465017079,0.5109456465017078,0.8449717984300652,1.9808261394500732
SVC,0.9085656870133132,0.5094288281046728,0.5094288281046728,0.8674254535031634,21776.876226186752
CalibratedClassifierCV,0.907676849651228,0.5061269572275104,0.5061269572275104,0.8658864379717062,783.2724494934082
LogisticRegression,0.9074836241377311,0.5048956409827716,0.5048956409827716,0.8653534995459815,7.706610679626465
AdaBoostClassifier,0.9074449790350317,0.502530911266396,0.502530911266396,0.8644206800711317,105.31538558006287
LinearSVC,0.9069232701485904,0.5013060763821668,0.5013060763821667,0.8637861232633927,195.5788130760193
QuadraticDiscriminantAnalysis,0.09821652851042452,0.5011509904945824,0.5011509904945826,0.027754383837294266,4.0793914794921875
SGDClassifier,0.9071164956620872,0.5001939562691315,0.5001939562691315,0.8633993058924245,4.822017192840576
RidgeClassifier,0.9074256564836821,0.5000830907750102,0.5000830907750102,0.8634410838211295,1.7341687679290771
RidgeClassifierCV,0.9074063339323324,0.5000724440957095,0.5000724440957095,0.8634314367394342,4.574997901916504
DummyClassifier,0.9074449790350317,0.5,0.5,0.8634129938494712,1.0986230373382568
