Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
QuadraticDiscriminantAnalysis,0.8332270593009101,0.6869609493583824,0.6869609493583824,0.869646620239972,74.31617164611816
NearestCentroid,0.6744922999632872,0.6489477153607355,0.6489477153607354,0.7621739973385375,13.15839409828186
GaussianNB,0.6820667400923618,0.6413568624931567,0.6413568624931568,0.7676882640868692,16.307549715042114
BernoulliNB,0.8499024211156841,0.6135996214710128,0.6135996214710128,0.8770754903773162,14.878152847290039
DecisionTreeClassifier,0.9200432825150233,0.5990290542506269,0.5990290542506269,0.9179117533908,511.38709568977356
ExtraTreeClassifier,0.9156957084613452,0.5835094338679607,0.5835094338679607,0.913908682173922,21.904130458831787
ExtraTreesClassifier,0.9451625992696076,0.5780095627932355,0.5780095627932355,0.9310024403189924,828.3719620704651
BaggingClassifier,0.9452785345777056,0.5703348024983564,0.5703348024983564,0.9300145972808331,1661.8059046268463
KNeighborsClassifier,0.944351052112921,0.5635577070681291,0.5635577070681291,0.9284767843801007,279.9825518131256
RandomForestClassifier,0.9467470484802814,0.5543511711646093,0.5543511711646092,0.9284644132317907,517.4932329654694
LinearDiscriminantAnalysis,0.9411628311402238,0.5447842924172929,0.5447842924172929,0.9237839711451947,77.70234513282776
PassiveAggressiveClassifier,0.8995807006357119,0.5390295998279087,0.5390295998279087,0.9006621967306624,17.60167098045349
SVC,0.9459741464262942,0.5336341374472312,0.5336341374472313,0.9244182061886577,55490.141619205475
XGBClassifier,0.9457615983614477,0.5320709799132372,0.5320709799132372,0.9240141690028442,83.70435953140259
Perceptron,0.9060344327865051,0.5313284346315161,0.5313284346315161,0.9033328266912397,14.547631025314331
LinearSVC,0.9309605240275926,0.5211661627353981,0.5211661627353982,0.9147564189548189,727.7411620616913
LogisticRegression,0.9440612138426758,0.5152141125483533,0.5152141125483533,0.9198361515085692,30.775723934173584
LGBMClassifier,0.9446795354858656,0.513446521478715,0.513446521478715,0.9197328796734658,17.71014952659607
SGDClassifier,0.9428052480049466,0.5106805246852941,0.5106805246852941,0.9183287082806894,43.547290086746216
AdaBoostClassifier,0.9436167951616331,0.5009567854496702,0.5009567854496702,0.9164893526525751,514.2431058883667
RidgeClassifier,0.9436554402643325,0.5001714089818307,0.5001714089818307,0.9163191711804187,17.504306077957153
RidgeClassifierCV,0.9436554402643325,0.5001714089818307,0.5001714089818307,0.9163191711804187,57.89751648902893
DummyClassifier,0.9436361177129828,0.5,0.5,0.9162714301689296,13.235905408859253
CalibratedClassifierCV,0.9436361177129828,0.5,0.5,0.9162714301689296,2855.09272646904
