Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
QuadraticDiscriminantAnalysis,0.7321121480880336,0.5918083127382027,0.5918083127382028,0.767269521647954,62.427817583084106
NearestCentroid,0.6055687592989778,0.5683101711871936,0.5683101711871936,0.6738512067636847,11.906883478164673
GaussianNB,0.6281954669294534,0.5616047762988243,0.5616047762988243,0.6914808873231831,14.011091947555542
DecisionTreeClassifier,0.8107356095298823,0.5423556962184756,0.5423556962184756,0.8080830420367583,448.62075185775757
ExtraTreeClassifier,0.8101172878866926,0.5423473849424126,0.5423473849424126,0.807750069635643,19.83872628211975
BernoulliNB,0.8389658570517651,0.5413117820712552,0.5413117820712552,0.8224218214608554,12.84313416481018
ExtraTreesClassifier,0.8733599984541959,0.5400651870396691,0.5400651870396691,0.8380814386330944,846.436196565628
KNeighborsClassifier,0.8724904836434603,0.5379903557375453,0.5379903557375453,0.8369572160047988,250.78647875785828
BaggingClassifier,0.875292253589164,0.5341572067826489,0.5341572067826489,0.8366822084159555,1663.760930299759
RandomForestClassifier,0.8790215059996522,0.5299586753471038,0.5299586753471038,0.8364426681539696,545.6671493053436
Perceptron,0.7946978919096478,0.5198341269763778,0.5198341269763779,0.7950278791612119,13.648894786834717
PassiveAggressiveClassifier,0.7918574768612447,0.5190423951340382,0.5190423951340382,0.7933846332434901,16.733478784561157
SVC,0.880547987556277,0.5152323330570946,0.5152323330570946,0.8303215663091101,100322.47945857048
XGBClassifier,0.8802001816319827,0.5111185457964769,0.5111185457964769,0.8282001791891258,85.97505140304565
LinearSVC,0.8326473827604197,0.5097558610056887,0.5097558610056887,0.8107123402999479,678.718531370163
LinearDiscriminantAnalysis,0.8787703128321064,0.5088622858039767,0.5088622858039767,0.8267041600895364,69.921621799469
SGDClassifier,0.8774370567889784,0.5055617979981344,0.5055617979981345,0.8247110752987094,58.337892293930054
LGBMClassifier,0.8796205050914923,0.5050866323748872,0.5050866323748873,0.8249648126760107,17.950462818145752
LogisticRegression,0.8790021834483025,0.5027425248404117,0.5027425248404117,0.8235915706101475,23.194817066192627
RidgeClassifierCV,0.8788089579348057,0.5002280878402242,0.5002280878402242,0.8221983127297382,51.538804054260254
RidgeClassifier,0.8788089579348057,0.5002280878402242,0.5002280878402242,0.8221983127297382,15.575388669967651
AdaBoostClassifier,0.878731667729407,0.5001841114994956,0.5001841114994956,0.822159752237863,446.76919317245483
DummyClassifier,0.8787703128321064,0.5,0.5,0.8220667076125425,10.825040102005005
CalibratedClassifierCV,0.8787703128321064,0.5,0.5,0.8220667076125425,2699.718631029129
