Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
NearestCentroid,0.552509033292756,0.5401127100855952,0.5401127100855952,0.6297097418126096,1.1805641651153564
DecisionTreeClassifier,0.787857708731861,0.5358651889083481,0.5358651889083482,0.7943925522015959,47.92247271537781
KNeighborsClassifier,0.8714857109732769,0.5350141671597066,0.5350141671597065,0.8354453772923846,172.46839261054993
ExtraTreeClassifier,0.7920507023747415,0.5347472110052608,0.5347472110052608,0.7964989569346131,1.5922718048095703
ExtraTreesClassifier,0.8699399068653025,0.5316614443068137,0.5316614443068137,0.8335683400037596,52.030909299850464
BernoulliNB,0.7814039765810677,0.5264910735913781,0.5264910735913781,0.7891743181135449,1.4489877223968506
BaggingClassifier,0.8738623847892876,0.5224890618665455,0.5224890618665456,0.831447372826582,337.76832389831543
RandomForestClassifier,0.877765540161923,0.5203130741163327,0.5203130741163327,0.8318358870583787,163.04046964645386
XGBClassifier,0.8793693119239464,0.5098901013441571,0.5098901013441571,0.8273713864396505,65.02731370925903
Perceptron,0.8325507700036713,0.5074337942113187,0.5074337942113186,0.8099716904409874,2.179790496826172
PassiveAggressiveClassifier,0.8423279809866094,0.5061955122081203,0.5061955122081203,0.8135655192039006,1.9781060218811035
LGBMClassifier,0.8791954089617993,0.5037455642616265,0.5037455642616265,0.8241650974507498,2.5850179195404053
SVC,0.8791567638590999,0.5026243778520092,0.5026243778520091,0.8235602686991971,42805.08912348747
GaussianNB,0.13688095376113463,0.5021726197821351,0.5021726197821351,0.06059137301029962,1.4673960208892822
LinearDiscriminantAnalysis,0.8786350549726586,0.5019153382123708,0.5019153382123708,0.8230746844931182,6.047757863998413
AdaBoostClassifier,0.878789635383456,0.5014536917742016,0.5014536917742015,0.8228581070987784,101.08259987831116
QuadraticDiscriminantAnalysis,0.21577493092187894,0.5012386429820871,0.5012386429820871,0.21747884343280094,3.794053316116333
LogisticRegression,0.8788282804861554,0.5007886810450329,0.5007886810450328,0.8225065566379016,7.686246633529663
RidgeClassifier,0.878789635383456,0.5002857936449954,0.5002857936449954,0.8222260717269521,1.6836304664611816
RidgeClassifierCV,0.8787703128321064,0.5002747995598132,0.5002747995598132,0.8222164253569714,4.566460132598877
LinearSVC,0.8786930226267077,0.500093423439178,0.5000934234391778,0.8221030791187546,192.5620093345642
DummyClassifier,0.8787703128321064,0.5,0.5,0.8220667076125425,1.040508508682251
CalibratedClassifierCV,0.8787703128321064,0.5,0.5,0.8220667076125425,669.124831199646
SGDClassifier,0.878731667729407,0.49997801182963564,0.49997801182963564,0.8220474651170565,4.789057970046997
