Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
QuadraticDiscriminantAnalysis,0.7461982880219504,0.6335856028074853,0.6335856028074853,0.8008518241528081,62.374255657196045
NearestCentroid,0.6735261723958031,0.607212950717825,0.607212950717825,0.7493849222097964,11.595319747924805
GaussianNB,0.6330647498695727,0.5953839023062508,0.5953839023062509,0.7189962276260072,13.788060903549194
BernoulliNB,0.8672154271249976,0.5800301021402758,0.5800301021402758,0.8731295023667267,12.509803533554077
DecisionTreeClassifier,0.8853593028423473,0.5732893984278724,0.5732893984278724,0.8828220480172874,465.23021697998047
ExtraTreeClassifier,0.8835236604641277,0.5663880691427848,0.5663880691427848,0.880893406077311,18.980727910995483
ExtraTreesClassifier,0.9233474387958186,0.558064450697906,0.5580644506979061,0.9017724138281114,783.6320519447327
BaggingClassifier,0.9229803103201747,0.5553173559765519,0.5553173559765519,0.9010013791227491,1533.8332562446594
KNeighborsClassifier,0.9221494406121384,0.5509291882588261,0.5509291882588261,0.8996264020848387,247.45642590522766
RandomForestClassifier,0.9257820802658783,0.540849335051986,0.5408493350519858,0.899228580417343,492.3925607204437
LinearDiscriminantAnalysis,0.9220721504067397,0.5362923897217686,0.5362923897217686,0.8962943362613716,72.76504945755005
Perceptron,0.862964465828068,0.5346386989004116,0.5346386989004117,0.8655264387381199,13.076139211654663
XGBClassifier,0.9256854675091299,0.5267812397237395,0.5267812397237395,0.8955894788099055,84.26419448852539
PassiveAggressiveClassifier,0.865437752400827,0.5234678200223674,0.5234678200223674,0.8653909532447447,19.066486835479736
SVC,0.9252024037253879,0.5188747256144954,0.5188747256144954,0.8931822503228801,71940.63268661499
LGBMClassifier,0.9244874693254498,0.5108426727346945,0.5108426727346946,0.8905335256240039,17.4665207862854
LogisticRegression,0.9234826966552664,0.5089086759403567,0.5089086759403567,0.8895711901341026,26.151702404022217
LinearSVC,0.9036191138677951,0.5063783277062502,0.5063783277062502,0.8808891664907086,676.4854309558868
SGDClassifier,0.9226131818445308,0.5048470839580191,0.5048470839580191,0.8880136720067271,46.74522686004639
AdaBoostClassifier,0.9233474387958186,0.5020013006691818,0.5020013006691819,0.8873716729462383,448.9877655506134
RidgeClassifier,0.9235213417579657,0.5001262945188178,0.5001262945188178,0.886821740761652,14.999238729476929
RidgeClassifierCV,0.9235213417579657,0.5001262945188178,0.5001262945188178,0.886821740761652,51.856818437576294
DummyClassifier,0.923502019206616,0.5,0.5,0.8867741972326841,10.772156000137329
CalibratedClassifierCV,0.923502019206616,0.5,0.5,0.8867741972326841,3193.80299448967
