Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
NearestCentroid,0.5779375108689352,0.5666953891523785,0.5666953891523784,0.6752620819946065,1.0353777408599854
BernoulliNB,0.7038625780148011,0.5586553189990684,0.5586553189990684,0.7699646331131177,1.2907593250274658
DecisionTreeClassifier,0.8637953355361042,0.5542009836713665,0.5542009836713665,0.868329439060683,49.406944036483765
ExtraTreeClassifier,0.8653024945413792,0.5495728368135611,0.5495728368135612,0.8686264076361218,1.3377914428710938
KNeighborsClassifier,0.9206422816068633,0.5415415476094504,0.5415415476094505,0.8967892306614943,165.09042596817017
ExtraTreesClassifier,0.9184008656503004,0.5381271800232418,0.5381271800232418,0.8948966608611163,44.08475589752197
BaggingClassifier,0.9219562150986417,0.5333337964713701,0.5333337964713702,0.8955283621168155,337.0904562473297
PassiveAggressiveClassifier,0.8605105018066586,0.5255492722868286,0.5255492722868286,0.8630667351326438,1.6161763668060303
RandomForestClassifier,0.9230769230769231,0.5232839353720871,0.5232839353720871,0.893490222973212,161.48844480514526
XGBClassifier,0.9240816957471064,0.518152121935532,0.518152121935532,0.8925112961417927,65.77971744537354
LGBMClassifier,0.9243715340173516,0.5098532397125777,0.5098532397125777,0.890189338220299,2.7684502601623535
QuadraticDiscriminantAnalysis,0.7123451780573107,0.5086906240697492,0.5086906240697492,0.7741059645560282,3.504807233810425
SVC,0.9237532123741619,0.5031476571544949,0.5031476571544949,0.8878754226511211,24607.513757944107
GaussianNB,0.0898305412246633,0.5027009940774387,0.5027009940774387,0.03864229338224182,1.287440538406372
LinearDiscriminantAnalysis,0.9230382779742237,0.5026447463240061,0.5026447463240061,0.8874724603924158,5.061311721801758
LogisticRegression,0.923444051552567,0.5006636130349895,0.5006636130349896,0.8869718222378672,6.9995317459106445
LinearSVC,0.9223233435742856,0.50052017412905,0.50052017412905,0.886556630259393,160.22356939315796
CalibratedClassifierCV,0.9235406643093154,0.5004842549468453,0.5004842549468453,0.886944885104079,572.0037097930908
AdaBoostClassifier,0.923444051552567,0.5000844482619655,0.5000844482619655,0.8867831162162515,96.07920503616333
RidgeClassifier,0.923502019206616,0.5,0.5,0.8867741972326841,1.4889662265777588
RidgeClassifierCV,0.923502019206616,0.5,0.5,0.8867741972326841,4.081130266189575
SGDClassifier,0.923502019206616,0.5,0.5,0.8867741972326841,3.6726346015930176
DummyClassifier,0.923502019206616,0.5,0.5,0.8867741972326841,0.8998885154724121
Perceptron,0.8568198944988696,0.49887869419130726,0.4988786941913072,0.8576055034683505,1.871833324432373
