Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
QuadraticDiscriminantAnalysis,0.8016346878441829,0.6823265415022608,0.6823265415022608,0.8457267953643399,61.646742820739746
NearestCentroid,0.7010801306204472,0.651636614977656,0.6516366149776562,0.7771239943022757,11.437791347503662
GaussianNB,0.6714973045040867,0.6462044508074765,0.6462044508074765,0.7556516034219605,14.123119354248047
BernoulliNB,0.8369949568140977,0.6178872879281002,0.6178872879281002,0.8653792155011854,13.01899266242981
DecisionTreeClassifier,0.9093192665159507,0.6066795421984377,0.6066795421984378,0.9082143269640247,447.0617332458496
ExtraTreeClassifier,0.9047977895001256,0.5930525674220138,0.593052567422014,0.9041736509274834,18.90020728111267
ExtraTreesClassifier,0.9359457422758101,0.5821458824379102,0.5821458824379102,0.9216636027425753,742.5554974079132
BaggingClassifier,0.9357718393136629,0.5804917273366009,0.5804917273366009,0.9213178488655808,1489.4599664211273
KNeighborsClassifier,0.935230807875872,0.563880072999684,0.5638800729996839,0.9184612585212706,250.92136240005493
RandomForestClassifier,0.9388827700809614,0.562423273346056,0.5624232733460559,0.920356958986296,458.8926179409027
LinearDiscriminantAnalysis,0.9319266515950766,0.5611224965445598,0.5611224965445599,0.9161124943088802,69.31271076202393
Perceptron,0.8858810117287886,0.552720646010312,0.552720646010312,0.8893576235503675,13.028031826019287
PassiveAggressiveClassifier,0.8891078778041852,0.5497594598745122,0.5497594598745122,0.8908446372806456,15.69236445426941
XGBClassifier,0.9384963190539679,0.539932771927077,0.539932771927077,0.9159874485599787,84.04555034637451
SVC,0.9387861573242131,0.5359713231574691,0.5359713231574691,0.9153298582828532,57347.27637577057
LogisticRegression,0.9368925472919444,0.5255924941815843,0.5255924941815843,0.912189537218423,26.52354407310486
LinearSVC,0.9207002492609124,0.5248962921891207,0.5248962921891208,0.9042143455667874,648.090580701828
LGBMClassifier,0.9380905454756246,0.5226836413062995,0.5226836413062995,0.9121010301511431,17.303873300552368
SGDClassifier,0.9354433559407184,0.5175799924253103,0.5175799924253103,0.9097424191553328,45.77190637588501
RidgeClassifier,0.9372403532162387,0.5070424328379561,0.5070424328379561,0.9079603714222653,15.146941900253296
RidgeClassifierCV,0.9372403532162387,0.5070424328379561,0.5070424328379561,0.9079603714222653,51.750200271606445
AdaBoostClassifier,0.9362742256487546,0.5043975770743278,0.5043975770743278,0.9069098620488782,447.94043350219727
DummyClassifier,0.9365447413676502,0.5,0.5,0.9058567394254482,11.164605140686035
CalibratedClassifierCV,0.9365447413676502,0.5,0.5,0.9058567394254482,2621.707845211029
