Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
NearestCentroid,0.6149208741522231,0.5991090177583527,0.5991090177583528,0.7127383893465228,1.2001099586486816
DecisionTreeClassifier,0.8916777771336928,0.5861900278111385,0.5861900278111386,0.895810357855568,53.77769994735718
BernoulliNB,0.765501516820281,0.5834089359425563,0.5834089359425562,0.8194077081810435,1.4717633724212646
ExtraTreeClassifier,0.892991710625471,0.5726977593498804,0.5726977593498804,0.8953138769867468,1.5374817848205566
ExtraTreesClassifier,0.9341680675516395,0.5643062623826588,0.5643062623826588,0.9179091338152585,51.7247371673584
KNeighborsClassifier,0.9349989372596758,0.5629046576702379,0.5629046576702379,0.9181693537188407,175.7047839164734
BaggingClassifier,0.9359070971731107,0.5479183185988086,0.5479183185988085,0.9161217601855449,363.4650545120239
RandomForestClassifier,0.938129190578324,0.5439948946862554,0.5439948946862555,0.9165913302545585,162.63220834732056
Perceptron,0.7677042876741444,0.5388810775721157,0.5388810775721157,0.8193125609290833,1.7483649253845215
XGBClassifier,0.93776206210268,0.5381213940153216,0.5381213940153217,0.9152420366329734,67.0961103439331
LinearDiscriminantAnalysis,0.9331246497787568,0.5264196486929162,0.5264196486929161,0.9105605933326005,5.526595115661621
LGBMClassifier,0.9378779974107782,0.5202991670731237,0.5202991670731237,0.9114561444820916,2.66853666305542
SVC,0.9375688365891832,0.5134630516751807,0.5134630516751807,0.9096968808718301,13133.315507173538
PassiveAggressiveClassifier,0.8657469132224219,0.5115968871849955,0.5115968871849955,0.8744424540632573,1.8376474380493164
LogisticRegression,0.9365447413676502,0.5069549364010785,0.5069549364010785,0.9076654414436042,7.16943883895874
CalibratedClassifierCV,0.9364674511622515,0.5064878604803568,0.5064878604803567,0.9075170859243692,660.9792561531067
AdaBoostClassifier,0.9366027090216992,0.5049987593310581,0.5049987593310581,0.9071897982398975,103.17808222770691
GaussianNB,0.07605356211234131,0.5027516991723856,0.5027516991723856,0.03350623103945898,1.4913315773010254
QuadraticDiscriminantAnalysis,0.07045002222093405,0.5020310959333626,0.5020310959333627,0.021937310436795452,3.965174913406372
SGDClassifier,0.9366413541243986,0.5016128916133067,0.5016128916133067,0.9063211714795704,4.135272979736328
RidgeClassifier,0.9365833864703496,0.5014400065197316,0.5014400065197316,0.9062542639814366,1.6978321075439453
RidgeClassifierCV,0.9365833864703496,0.5014400065197316,0.5014400065197316,0.9062542639814366,4.462551832199097
LinearSVC,0.9361969354433559,0.5012336890797184,0.5012336890797184,0.9060588614181776,173.2461543083191
DummyClassifier,0.9365447413676502,0.5,0.5,0.9058567394254482,1.0524725914001465
